Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
30360651,01/10/2023 00:00:00,00:14:59,0,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,00:29:59,1,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,00:44:59,2,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,00:59:59,3,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,01:14:59,4,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,01:29:59,5,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,01:44:59,6,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,01:59:59,7,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,02:14:59,8,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,02:29:59,9,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,02:44:59,10,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,02:59:59,11,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,03:14:59,12,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,03:29:59,13,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,03:44:59,14,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,03:59:59,15,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,04:14:59,16,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,04:29:59,17,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,04:44:59,18,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,04:59:59,19,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,05:14:59,20,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,05:29:59,21,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,05:44:59,22,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,05:59:59,23,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,06:14:59,24,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,06:29:59,25,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,06:44:59,26,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,06:59:59,27,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,07:14:59,28,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,07:29:59,29,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,07:44:59,30,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,07:59:59,31,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,08:14:59,32,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,08:29:59,33,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,08:44:59,34,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,08:59:59,35,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,09:14:59,36,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,09:29:59,37,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,09:44:59,38,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,09:59:59,39,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,10:14:59,40,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,10:29:59,41,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,10:44:59,42,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,10:59:59,43,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,11:14:59,44,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,11:29:59,45,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,11:44:59,46,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,11:59:59,47,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,12:14:59,48,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,12:29:59,49,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,12:44:59,50,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,12:59:59,51,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,13:14:59,52,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,13:29:59,53,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,13:44:59,54,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,13:59:59,55,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,14:14:59,56,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,14:29:59,57,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,14:44:59,58,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,14:59:59,59,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,15:14:59,60,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,15:29:59,61,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,15:44:59,62,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,15:59:59,63,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,16:14:59,64,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,16:29:59,65,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,16:44:59,66,,,,,,,,,,,,,,,,,,,,
30360651,01/10/2023 00:00:00,16:59:59,67,,,,,,,,,,,,,,,,,,,,
